group,feature,feature_label,n,mean,std,median,q1,q3,min,max
전체,points_per40,득점(40분),1080,79.99796296296296,11.228893429675406,79.0,72.0,87.0,49.0,119.0
전체,two_pt_pct,2점 성공률,1080,0.5239499272253058,0.08235836461172726,0.5238095238095238,0.4651162790697674,0.5813953488372093,0.2926829268292683,0.7666666666666667
전체,three_pt_pct,3점 성공률,1080,0.3245241037268025,0.09491519256847426,0.32,0.2589605734767024,0.3846153846153846,0.0,0.6153846153846154
전체,free_throw_pct,자유투 성공률,1078,0.7203355718167618,0.14032552213283425,0.7272727272727273,0.6363636363636364,0.8125,0.0,1.0
전체,off_rebounds_per40,공격리바운드(40분),1080,10.655020576131687,3.884906348853564,10.0,8.0,13.0,2.0,29.0
전체,def_rebounds_per40,수비리바운드(40분),1080,24.85,4.659267933356245,25.0,22.0,28.0,13.0,39.11111111111111
전체,assists_per40,어시스트(40분),1080,18.392263374485598,4.287261884650625,18.0,15.0,21.0,7.0,33.0
전체,steals_per40,스틸(40분),1080,6.622201646090535,2.7473865011871927,6.0,5.0,8.0,0.0,17.0
전체,blocks_per40,블록(40분),1080,2.470617283950617,1.7615456914951952,2.0,1.0,3.2,0.0,11.0
전체,turnovers_per40,턴오버(40분),1080,10.590534979423868,3.4457547857258324,10.0,8.0,13.0,3.0,24.0
전체,fouls_per40,파울(40분),1080,19.194465020576132,2.9308183923935576,19.0,17.0,21.0,10.0,29.0
전체,efg_pct,eFG%,1080,0.5100853039763847,0.07561515111027643,0.5071428571428571,0.4587614155251142,0.5606572481572482,0.274390243902439,0.75
전체,tov_pct,TOV%,1080,0.12402026365816994,0.03911258068928944,0.12126765681658344,0.09686423551836938,0.14859176648413863,0.0341219290263876,0.2985074626865671
전체,oreb_pct,ORB%,1080,0.29773378736759093,0.0888796092280943,0.29478609625668445,0.24,0.3559523809523809,0.0588235294117647,0.5945945945945946
전체,fta_rate,FTA Rate,1080,0.21758746443257518,0.09118386842401907,0.2096774193548387,0.1506849315068493,0.2754872563718141,0.0,0.603448275862069
전체,offensive_rating,공격 효율,1080,107.28509259259259,14.248373726063354,107.2,97.5,117.0,69.0,155.6
전체,defensive_rating,수비 효율,1080,107.2850925925926,14.248373726063354,107.2,97.5,117.0,69.0,155.6
전체,pace,경기 템포,1080,72.89407407407408,4.56304229949114,72.4,69.9,75.9,60.9,91.8
승리,points_per40,득점(40분),540,85.58045267489713,10.177461319667549,85.0,78.0,92.0,60.0,119.0
승리,two_pt_pct,2점 성공률,540,0.5509774813757137,0.07900179485193343,0.5480030721966206,0.5,0.6100948509485095,0.3,0.7666666666666667
승리,three_pt_pct,3점 성공률,540,0.35460412291897947,0.09456101969302677,0.3529411764705882,0.2857142857142857,0.4193548387096774,0.0909090909090909,0.6153846153846154
승리,free_throw_pct,자유투 성공률,539,0.7247367568109099,0.13739004191013973,0.7333333333333333,0.6363636363636364,0.8181818181818182,0.0,1.0
승리,off_rebounds_per40,공격리바운드(40분),540,10.83082304526749,3.864927104302659,11.0,8.0,13.0,2.0,24.0
승리,def_rebounds_per40,수비리바운드(40분),540,26.614485596707816,4.331647024339506,27.0,24.0,29.0,15.0,39.11111111111111
승리,assists_per40,어시스트(40분),540,19.903991769547325,4.296657460151502,20.0,17.0,22.25,9.0,33.0
승리,steals_per40,스틸(40분),540,7.043333333333334,2.8528718518315963,7.0,5.0,9.0,1.0,17.0
승리,blocks_per40,블록(40분),540,2.671316872427983,1.8635029667750633,2.0,1.0,4.0,0.0,11.0
승리,turnovers_per40,턴오버(40분),540,10.068971193415639,3.275628914895741,10.0,8.0,12.0,3.0,20.0
승리,fouls_per40,파울(40분),540,19.080123456790123,2.881071671902223,19.0,17.0,21.0,10.0,28.0
승리,efg_pct,eFG%,540,0.5446580378945197,0.07038160276410496,0.5416666666666666,0.4932432432432432,0.5934375000000001,0.3461538461538461,0.75
승리,tov_pct,TOV%,540,0.11767382506855989,0.03709071142542611,0.11520825405023374,0.09193301992690932,0.14122682550005033,0.0347705146036161,0.2399232245681382
승리,oreb_pct,ORB%,540,0.316288961417642,0.08998290948984713,0.3142857142857143,0.25,0.375,0.0869565217391304,0.5333333333333333
승리,fta_rate,FTA Rate,540,0.22114037283209761,0.09326702913422619,0.2121212121212121,0.15357905982905978,0.2833333333333333,0.0,0.5833333333333334
승리,offensive_rating,공격 효율,540,114.80185185185185,12.455675636529195,114.55,106.7,122.625,79.7,155.6
승리,defensive_rating,수비 효율,540,99.76833333333333,11.749557959553115,100.2,91.6,107.8,69.0,133.2
승리,pace,경기 템포,540,72.89407407407408,4.565158247807733,72.4,69.9,75.9,60.9,91.8
패배,points_per40,득점(40분),540,74.41547325102881,9.294368517693389,74.0,68.0,80.0,49.0,104.0
패배,two_pt_pct,2점 성공률,540,0.4969223730748979,0.0766381966373279,0.4959016393442623,0.4444444444444444,0.5454545454545454,0.2926829268292683,0.7333333333333333
패배,three_pt_pct,3점 성공률,540,0.29444408453462556,0.08532140844044381,0.2921747967479675,0.2395238095238095,0.35,0.0,0.5789473684210527
패배,free_throw_pct,자유투 성공률,539,0.7159343868226137,0.14319311673522656,0.7142857142857143,0.6363636363636364,0.8,0.25,1.0
패배,off_rebounds_per40,공격리바운드(40분),540,10.479218106995884,3.900436691273218,10.0,8.0,13.0,2.0,29.0
