component,explained_variance_ratio,cumulative_explained_variance,retained_for_80pct
PC1,0.1552005533780755,0.1552005533780755,True
PC2,0.12192748559854884,0.27712803897662436,True
PC3,0.10294459095377623,0.3800726299304006,True
PC4,0.09716302467543919,0.4772356546058398,True
PC5,0.08395735139529012,0.5611930060011299,True
PC6,0.07657515519415418,0.637768161195284,True
PC7,0.07556893256399243,0.7133370937592765,True
PC8,0.07045950581764758,0.783796599576924,True
PC9,0.06425804964054163,0.8480546492174657,True
PC10,0.05660598706696552,0.9046606362844312,False
PC11,0.05545867497391174,0.9601193112583429,False
PC12,0.02738418293602655,0.9875034941943694,False
PC13,0.012496505805630605,1.0,False
