feature,feature_label,vif
defensive_rating,수비 효율,2.7743730041033094
def_rebounds_per40,수비리바운드(40분),2.7596510678737585
steals_per40,스틸(40분),1.7616354255348157
assists_per40,어시스트(40분),1.708152257436904
pace,경기 템포,1.5905752293404405
two_pt_pct,2점 성공률,1.2858015983632094
three_pt_pct,3점 성공률,1.2801757262546793
oreb_pct,ORB%,1.1358093076628255
tov_pct,TOV%,1.0804251704964276
fta_rate,FTA Rate,1.0792524928820126
blocks_per40,블록(40분),1.0676571669065598
fouls_per40,파울(40분),1.0629567059334215
free_throw_pct,자유투 성공률,1.0170475034605144
