feature,feature_label,vif
turnovers_per40,턴오버(40분),214.49581474895626
tov_pct,TOV%,213.6588305653108
efg_pct,eFG%,118.53091757892277
offensive_rating,공격 효율,116.7484192344566
points_per40,득점(40분),46.84299122522887
off_rebounds_per40,공격리바운드(40분),22.704868847080075
three_pt_pct,3점 성공률,16.111624373845903
oreb_pct,ORB%,14.885294771861052
two_pt_pct,2점 성공률,14.732532874468486
pace,경기 템포,4.376233060302987
free_throw_pct,자유투 성공률,3.4347928311953613
fta_rate,FTA Rate,3.0924002023498223
defensive_rating,수비 효율,2.837644589438946
def_rebounds_per40,수비리바운드(40분),2.780291826139644
steals_per40,스틸(40분),1.8198244741003833
assists_per40,어시스트(40분),1.8064151190309563
blocks_per40,블록(40분),1.0747186158015274
fouls_per40,파울(40분),1.0711012212765643
