game_id,season,game_date,home_team_code,home_team,away_team_code,away_team,y_home_win,home_prior_games,away_prior_games,home_season_prior_games,away_season_prior_games,home_rest_days_capped14,away_rest_days_capped14,diff_rest_days_capped14,home_back_to_back,away_back_to_back,diff_back_to_back,home_long_break,away_long_break,diff_long_break,home_season_opener,away_season_opener,diff_season_opener,home_season_transition,away_season_transition,diff_season_transition,home_win_streak_before,away_win_streak_before,diff_win_streak_before,home_loss_streak_before,away_loss_streak_before,diff_loss_streak_before,home_elo_before,away_elo_before,diff_elo_before,home_elo_win_probability,away_elo_win_probability,diff_elo_win_probability,elo_difference,elo_home_win_probability,home_rolling_win_3,away_rolling_win_3,diff_rolling_win_3,home_rolling_score_margin_per40_3,away_rolling_score_margin_per40_3,diff_rolling_score_margin_per40_3,home_rolling_efg_pct_3,away_rolling_efg_pct_3,diff_rolling_efg_pct_3,home_rolling_tov_pct_3,away_rolling_tov_pct_3,diff_rolling_tov_pct_3,home_rolling_oreb_pct_3,away_rolling_oreb_pct_3,diff_rolling_oreb_pct_3,home_rolling_fta_rate_3,away_rolling_fta_rate_3,diff_rolling_fta_rate_3,home_rolling_offensive_rating_3,away_rolling_offensive_rating_3,diff_rolling_offensive_rating_3,home_rolling_defensive_rating_3,away_rolling_defensive_rating_3,diff_rolling_defensive_rating_3,home_rolling_win_5,away_rolling_win_5,diff_rolling_win_5,home_rolling_score_margin_per40_5,away_rolling_score_margin_per40_5,diff_rolling_score_margin_per40_5,home_rolling_efg_pct_5,away_rolling_efg_pct_5,diff_rolling_efg_pct_5,home_rolling_tov_pct_5,away_rolling_tov_pct_5,diff_rolling_tov_pct_5,home_rolling_oreb_pct_5,away_rolling_oreb_pct_5,diff_rolling_oreb_pct_5,home_rolling_fta_rate_5,away_rolling_fta_rate_5,diff_rolling_fta_rate_5,home_rolling_offensive_rating_5,away_rolling_offensive_rating_5,diff_rolling_offensive_rating_5,home_rolling_defensive_rating_5,away_rolling_defensive_rating_5,diff_rolling_defensive_rating_5,home_rolling_win_10,away_rolling_win_10,diff_rolling_win_10,home_rolling_score_margin_per40_10,away_rolling_score_margin_per40_10,diff_rolling_score_margin_per40_10,home_rolling_efg_pct_10,away_rolling_efg_pct_10,diff_rolling_efg_pct_10,home_rolling_tov_pct_10,away_rolling_tov_pct_10,diff_rolling_tov_pct_10,home_rolling_oreb_pct_10,away_rolling_oreb_pct_10,diff_rolling_oreb_pct_10,home_rolling_fta_rate_10,away_rolling_fta_rate_10,diff_rolling_fta_rate_10,home_rolling_offensive_rating_10,away_rolling_offensive_rating_10,diff_rolling_offensive_rating_10,home_rolling_defensive_rating_10,away_rolling_defensive_rating_10,diff_rolling_defensive_rating_10,split,train_end_date,validation_end_date
S23G01N3,2013-2014,2013-10-12,30,고양오리온스,06,부산KT,0,0,0,0,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.5924662305843318,0.4075337694156682,0.18493246116866358,0.0,0.5924662305843318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train,2021-04-06,2023-03-29
S23G01N2,2013-2014,2013-10-12,70,안양 KGC,16,원주동부,0,0,0,0,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.5924662305843318,0.4075337694156682,0.18493246116866358,0.0,0.5924662305843318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train,2021-04-06,2023-03-29
S23G01N1,2013-2014,2013-10-12,10,울산모비스,35,서울삼성,1,0,0,0,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.5924662305843318,0.4075337694156682,0.18493246116866358,0.0,0.5924662305843318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train,2021-04-06,2023-03-29
S23G01N5,2013-2014,2013-10-12,65,인천전자랜드,60,전주KCC,0,0,0,0,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.5924662305843318,0.4075337694156682,0.18493246116866358,0.0,0.5924662305843318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train,2021-04-06,2023-03-29
S23G01N4,2013-2014,2013-10-12,55,서울SK,50,창원LG,1,0,0,0,0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,1500.0,0.0,0.5924662305843318,0.4075337694156682,0.18493246116866358,0.0,0.5924662305843318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,train,2021-04-06,2023-03-29
S23G01N7,2013-2014,2013-10-13,06,부산KT,10,울산모비스,0,1,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1511.8493246116866,1508.1506753883134,3.698649223373195,0.5975966812089413,0.40240331879105873,0.19519336241788254,3.698649223373195,0.5975966812089413,1.0,1.0,0.0,18.0,28.0,-10.0,0.5757575757575758,0.5441176470588235,0.03163992869875232,0.0663129973474801,0.11759172154280338,-0.05127872419532328,0.3,0.32,-0.020000000000000018,0.15151515151515152,0.23529411764705882,-0.0837789661319073,125.0,112.9,12.099999999999994,96.0,75.5,20.5,1.0,1.0,0.0,18.0,28.0,-10.0,0.5757575757575758,0.5441176470588235,0.03163992869875232,0.0663129973474801,0.11759172154280338,-0.05127872419532328,0.3,0.32,-0.020000000000000018,0.15151515151515152,0.23529411764705882,-0.0837789661319073,125.0,112.9,12.099999999999994,96.0,75.5,20.5,1.0,1.0,0.0,18.0,28.0,-10.0,0.5757575757575758,0.5441176470588235,0.03163992869875232,0.0663129973474801,0.11759172154280338,-0.05127872419532328,0.3,0.32,-0.020000000000000018,0.15151515151515152,0.23529411764705882,-0.0837789661319073,125.0,112.9,12.099999999999994,96.0,75.5,20.5,train,2021-04-06,2023-03-29
S23G01N6,2013-2014,2013-10-13,16,원주동부,30,고양오리온스,1,1,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-1.0,1511.8493246116866,1488.1506753883134,23.698649223373195,0.6249448839059613,0.37505511609403874,0.24988976781192251,23.698649223373195,0.6249448839059613,1.0,0.0,1.0,17.0,-18.0,35.0,0.5625,0.41379310344827586,0.14870689655172414,0.2163023679417122,0.11737089201877933,0.09893147592293287,0.3333333333333333,0.25,0.08333333333333331,0.171875,0.3793103448275862,-0.2074353448275862,101.5,96.0,5.5,81.3,125.0,-43.7,1.0,0.0,1.0,17.0,-18.0,35.0,0.5625,0.41379310344827586,0.14870689655172414,0.2163023679417122,0.11737089201877933,0.09893147592293287,0.3333333333333333,0.25,0.08333333333333331,0.171875,0.3793103448275862,-0.2074353448275862,101.5,96.0,5.5,81.3,125.0,-43.7,1.0,0.0,1.0,17.0,-18.0,35.0,0.5625,0.41379310344827586,0.14870689655172414,0.2163023679417122,0.11737089201877933,0.09893147592293287,0.3333333333333333,0.25,0.08333333333333331,0.171875,0.3793103448275862,-0.2074353448275862,101.5,96.0,5.5,81.3,125.0,-43.7,train,2021-04-06,2023-03-29
S23G01N8,2013-2014,2013-10-13,35,서울삼성,70,안양 KGC,1,1,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1491.8493246116866,1488.1506753883134,3.698649223373195,0.5975966812089413,0.40240331879105873,0.19519336241788254,3.698649223373195,0.5975966812089413,0.0,0.0,0.0,-28.0,-17.0,-11.0,0.3484848484848485,0.35135135135135137,-0.0028665028665028625,0.17209729233593393,0.11200716845878136,0.06009012387715257,0.21951219512195122,0.30952380952380953,-0.09001161440185831,0.21212121212121213,0.16216216216216217,0.049959049959049956,75.5,81.3,-5.799999999999997,112.9,101.5,11.400000000000006,0.0,0.0,0.0,-28.0,-17.0,-11.0,0.3484848484848485,0.35135135135135137,-0.0028665028665028625,0.17209729233593393,0.11200716845878136,0.06009012387715257,0.21951219512195122,0.30952380952380953,-0.09001161440185831,0.21212121212121213,0.16216216216216217,0.049959049959049956,75.5,81.3,-5.799999999999997,112.9,101.5,11.400000000000006,0.0,0.0,0.0,-28.0,-17.0,-11.0,0.3484848484848485,0.35135135135135137,-0.0028665028665028625,0.17209729233593393,0.11200716845878136,0.06009012387715257,0.21951219512195122,0.30952380952380953,-0.09001161440185831,0.21212121212121213,0.16216216216216217,0.049959049959049956,75.5,81.3,-5.799999999999997,112.9,101.5,11.400000000000006,train,2021-04-06,2023-03-29
S23G01N9,2013-2014,2013-10-13,60,전주KCC,55,서울SK,1,1,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1511.8493246116866,1508.1506753883134,3.698649223373195,0.5975966812089413,0.40240331879105873,0.19519336241788254,3.698649223373195,0.5975966812089413,1.0,1.0,0.0,1.0,7.0,-6.0,0.5086206896551724,0.41333333333333333,0.09528735632183905,0.12155591572123176,0.08631851532153646,0.03523740039969529,0.3103448275862069,0.3409090909090909,-0.030564263322883978,0.27586206896551724,0.29333333333333333,-0.017471264367816097,109.2,96.5,12.700000000000003,109.4,86.9,22.5,1.0,1.0,0.0,1.0,7.0,-6.0,0.5086206896551724,0.41333333333333333,0.09528735632183905,0.12155591572123176,0.08631851532153646,0.03523740039969529,0.3103448275862069,0.3409090909090909,-0.030564263322883978,0.27586206896551724,0.29333333333333333,-0.017471264367816097,109.2,96.5,12.700000000000003,109.4,86.9,22.5,1.0,1.0,0.0,1.0,7.0,-6.0,0.5086206896551724,0.41333333333333333,0.09528735632183905,0.12155591572123176,0.08631851532153646,0.03523740039969529,0.3103448275862069,0.3409090909090909,-0.030564263322883978,0.27586206896551724,0.29333333333333333,-0.017471264367816097,109.2,96.5,12.700000000000003,109.4,86.9,22.5,train,2021-04-06,2023-03-29
S23G01N10,2013-2014,2013-10-13,50,창원LG,65,인천전자랜드,1,1,1,1,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1491.8493246116866,1488.1506753883134,3.698649223373195,0.5975966812089413,0.40240331879105873,0.19519336241788254,3.698649223373195,0.5975966812089413,0.0,0.0,0.0,-7.0,-1.0,-6.0,0.4338235294117647,0.543859649122807,-0.11003611971104232,0.15067222994900326,0.17577068685776093,-0.02509845690875767,0.1951219512195122,0.3333333333333333,-0.1382113821138211,0.17647058823529413,0.15789473684210525,0.018575851393188875,86.9,109.4,-22.5,96.5,109.2,-12.700000000000003,0.0,0.0,0.0,-7.0,-1.0,-6.0,0.4338235294117647,0.543859649122807,-0.11003611971104232,0.15067222994900326,0.17577068685776093,-0.02509845690875767,0.1951219512195122,0.3333333333333333,-0.1382113821138211,0.17647058823529413,0.15789473684210525,0.018575851393188875,86.9,109.4,-22.5,96.5,109.2,-12.700000000000003,0.0,0.0,0.0,-7.0,-1.0,-6.0,0.4338235294117647,0.543859649122807,-0.11003611971104232,0.15067222994900326,0.17577068685776093,-0.02509845690875767,0.1951219512195122,0.3333333333333333,-0.1382113821138211,0.17647058823529413,0.15789473684210525,0.018575851393188875,86.9,109.4,-22.5,96.5,109.2,-12.700000000000003,train,2021-04-06,2023-03-29
