sample_index,target_game_id,target_date,season,home_team_code,home_team,away_team_code,away_team,y_home_win,window,sequence_mode,crosses_season_boundary,home_history_start,home_history_end,away_history_start,away_history_end,split,train_end_date,validation_end_date
0,S23G01N16,2013-10-18,2013-2014,06,부산KT,50,창원LG,0,3,carryover,0,2013-10-12,2013-10-16,2013-10-12,2013-10-16,train,2021-04-06,2023-03-29
1,S23G01N17,2013-10-18,2013-2014,60,전주KCC,70,안양 KGC,1,3,carryover,0,2013-10-12,2013-10-15,2013-10-12,2013-10-16,train,2021-04-06,2023-03-29
2,S23G01N19,2013-10-19,2013-2014,35,서울삼성,65,인천전자랜드,0,3,carryover,0,2013-10-12,2013-10-17,2013-10-12,2013-10-17,train,2021-04-06,2023-03-29
3,S23G01N18,2013-10-19,2013-2014,16,원주동부,55,서울SK,0,3,carryover,0,2013-10-12,2013-10-16,2013-10-12,2013-10-17,train,2021-04-06,2023-03-29
4,S23G01N20,2013-10-19,2013-2014,10,울산모비스,30,고양오리온스,1,3,carryover,0,2013-10-12,2013-10-15,2013-10-12,2013-10-17,train,2021-04-06,2023-03-29
5,S23G01N21,2013-10-20,2013-2014,35,서울삼성,50,창원LG,0,3,carryover,0,2013-10-13,2013-10-19,2013-10-13,2013-10-18,train,2021-04-06,2023-03-29
6,S23G01N22,2013-10-20,2013-2014,60,전주KCC,06,부산KT,0,3,carryover,0,2013-10-13,2013-10-18,2013-10-13,2013-10-18,train,2021-04-06,2023-03-29
7,S23G01N23,2013-10-20,2013-2014,70,안양 KGC,30,고양오리온스,0,3,carryover,0,2013-10-13,2013-10-18,2013-10-13,2013-10-19,train,2021-04-06,2023-03-29
8,S23G01N24,2013-10-22,2013-2014,35,서울삼성,16,원주동부,0,3,carryover,0,2013-10-17,2013-10-20,2013-10-13,2013-10-19,train,2021-04-06,2023-03-29
9,S23G01N25,2013-10-23,2013-2014,06,부산KT,65,인천전자랜드,1,3,carryover,0,2013-10-16,2013-10-20,2013-10-13,2013-10-19,train,2021-04-06,2023-03-29
10,S23G01N26,2013-10-23,2013-2014,70,안양 KGC,10,울산모비스,1,3,carryover,0,2013-10-16,2013-10-20,2013-10-13,2013-10-19,train,2021-04-06,2023-03-29
11,S23G01N28,2013-10-24,2013-2014,30,고양오리온스,55,서울SK,0,3,carryover,0,2013-10-17,2013-10-20,2013-10-13,2013-10-19,train,2021-04-06,2023-03-29
12,S23G01N27,2013-10-24,2013-2014,50,창원LG,60,전주KCC,1,3,carryover,0,2013-10-16,2013-10-20,2013-10-15,2013-10-20,train,2021-04-06,2023-03-29
13,S23G01N30,2013-10-25,2013-2014,16,원주동부,06,부산KT,0,3,carryover,0,2013-10-16,2013-10-22,2013-10-18,2013-10-23,train,2021-04-06,2023-03-29
14,S23G01N29,2013-10-25,2013-2014,10,울산모비스,65,인천전자랜드,0,3,carryover,0,2013-10-15,2013-10-23,2013-10-17,2013-10-23,train,2021-04-06,2023-03-29
15,S23G01N31,2013-10-26,2013-2014,70,안양 KGC,55,서울SK,0,3,carryover,0,2013-10-18,2013-10-23,2013-10-17,2013-10-24,train,2021-04-06,2023-03-29
16,S23G01N32,2013-10-26,2013-2014,30,고양오리온스,50,창원LG,0,3,carryover,0,2013-10-19,2013-10-24,2013-10-18,2013-10-24,train,2021-04-06,2023-03-29
17,S23G01N33,2013-10-26,2013-2014,60,전주KCC,35,서울삼성,1,3,carryover,0,2013-10-18,2013-10-24,2013-10-19,2013-10-22,train,2021-04-06,2023-03-29
18,S23G01N34,2013-10-27,2013-2014,65,인천전자랜드,16,원주동부,1,3,carryover,0,2013-10-19,2013-10-25,2013-10-19,2013-10-25,train,2021-04-06,2023-03-29
19,S23G01N35,2013-10-27,2013-2014,55,서울SK,10,울산모비스,1,3,carryover,0,2013-10-19,2013-10-26,2013-10-19,2013-10-25,train,2021-04-06,2023-03-29
20,S23G01N36,2013-10-27,2013-2014,06,부산KT,35,서울삼성,1,3,carryover,0,2013-10-20,2013-10-25,2013-10-20,2013-10-26,train,2021-04-06,2023-03-29
21,S23G01N37,2013-10-29,2013-2014,50,창원LG,10,울산모비스,0,3,carryover,0,2013-10-20,2013-10-26,2013-10-23,2013-10-27,train,2021-04-06,2023-03-29
22,S23G01N38,2013-10-30,2013-2014,65,인천전자랜드,70,안양 KGC,1,3,carryover,0,2013-10-23,2013-10-27,2013-10-20,2013-10-26,train,2021-04-06,2023-03-29
