sample_index,target_game_id,target_date,season,home_team_code,home_team,away_team_code,away_team,y_home_win,window,sequence_mode,crosses_season_boundary,home_history_start,home_history_end,away_history_start,away_history_end,split,train_end_date,validation_end_date
0,S23G01N52,2013-11-06,2013-2014,10,울산모비스,06,부산KT,1,10,season_reset,0,2013-10-12,2013-11-03,2013-10-12,2013-11-02,train,2021-04-06,2023-03-29
1,S23G01N53,2013-11-07,2013-2014,70,안양 KGC,55,서울SK,0,10,season_reset,0,2013-10-12,2013-11-03,2013-10-12,2013-11-03,train,2021-04-06,2023-03-29
2,S23G01N54,2013-11-07,2013-2014,35,서울삼성,30,고양오리온스,1,10,season_reset,0,2013-10-12,2013-11-02,2013-10-12,2013-11-03,train,2021-04-06,2023-03-29
3,S23G01N55,2013-11-08,2013-2014,06,부산KT,60,전주KCC,1,10,season_reset,0,2013-10-13,2013-11-06,2013-10-12,2013-11-06,train,2021-04-06,2023-03-29
4,S23G01N56,2013-11-08,2013-2014,65,인천전자랜드,10,울산모비스,0,10,season_reset,0,2013-10-12,2013-11-05,2013-10-13,2013-11-06,train,2021-04-06,2023-03-29
5,S23G01N57,2013-11-09,2013-2014,35,서울삼성,55,서울SK,1,10,season_reset,0,2013-10-13,2013-11-07,2013-10-13,2013-11-07,train,2021-04-06,2023-03-29
6,S23G01N58,2013-11-09,2013-2014,50,창원LG,16,원주동부,1,10,season_reset,0,2013-10-13,2013-11-05,2013-10-13,2013-11-06,train,2021-04-06,2023-03-29
7,S23G01N59,2013-11-09,2013-2014,30,고양오리온스,70,안양 KGC,1,10,season_reset,0,2013-10-13,2013-11-07,2013-10-13,2013-11-07,train,2021-04-06,2023-03-29
8,S23G01N61,2013-11-10,2013-2014,60,전주KCC,65,인천전자랜드,0,10,season_reset,0,2013-10-13,2013-11-08,2013-10-13,2013-11-08,train,2021-04-06,2023-03-29
9,S23G01N60,2013-11-10,2013-2014,06,부산KT,55,서울SK,0,10,season_reset,0,2013-10-16,2013-11-08,2013-10-17,2013-11-09,train,2021-04-06,2023-03-29
10,S23G01N62,2013-11-10,2013-2014,16,원주동부,70,안양 KGC,0,10,season_reset,0,2013-10-16,2013-11-09,2013-10-16,2013-11-09,train,2021-04-06,2023-03-29
11,S23G01N63,2013-11-12,2013-2014,65,인천전자랜드,35,서울삼성,0,10,season_reset,0,2013-10-17,2013-11-10,2013-10-17,2013-11-09,train,2021-04-06,2023-03-29
12,S23G01N64,2013-11-13,2013-2014,16,원주동부,10,울산모비스,0,10,season_reset,0,2013-10-19,2013-11-10,2013-10-15,2013-11-08,train,2021-04-06,2023-03-29
13,S23G01N65,2013-11-13,2013-2014,50,창원LG,70,안양 KGC,1,10,season_reset,0,2013-10-16,2013-11-09,2013-10-18,2013-11-10,train,2021-04-06,2023-03-29
14,S23G01N66,2013-11-14,2013-2014,60,전주KCC,55,서울SK,0,10,season_reset,0,2013-10-15,2013-11-10,2013-10-19,2013-11-10,train,2021-04-06,2023-03-29
15,S23G01N67,2013-11-14,2013-2014,30,고양오리온스,06,부산KT,1,10,season_reset,0,2013-10-17,2013-11-09,2013-10-18,2013-11-10,train,2021-04-06,2023-03-29
16,S23G01N69,2013-11-15,2013-2014,16,원주동부,35,서울삼성,0,10,season_reset,0,2013-10-22,2013-11-13,2013-10-19,2013-11-12,train,2021-04-06,2023-03-29
17,S23G01N68,2013-11-15,2013-2014,70,안양 KGC,65,인천전자랜드,1,10,season_reset,0,2013-10-20,2013-11-13,2013-10-19,2013-11-12,train,2021-04-06,2023-03-29
18,S23G01N71,2013-11-16,2013-2014,06,부산KT,50,창원LG,1,10,season_reset,0,2013-10-20,2013-11-14,2013-10-18,2013-11-13,train,2021-04-06,2023-03-29
19,S23G01N70,2013-11-16,2013-2014,60,전주KCC,30,고양오리온스,0,10,season_reset,0,2013-10-18,2013-11-14,2013-10-19,2013-11-14,train,2021-04-06,2023-03-29
20,S23G01N72,2013-11-16,2013-2014,10,울산모비스,55,서울SK,0,10,season_reset,0,2013-10-19,2013-11-13,2013-10-24,2013-11-14,train,2021-04-06,2023-03-29
